source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005819,spindle,3.1171046131725185e-37,True,"""The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart."" [ISBN:0198547684]",437,208,50,22115,0.2403846153846154,0.11441647597254005,query_1,"['GO:0015630', 'GO:0043232']"
GO:CC,GO:0005815,microtubule organizing center,8.766924261869842e-37,True,"""An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides."" [GOC:vw, ISBN:0815316194, PMID:17072892, PMID:17245416, Wikipedia:Microtubule_organizing_center]",874,208,64,22115,0.3076923076923077,0.07322654462242563,query_1,"['GO:0015630', 'GO:0110165']"
GO:CC,GO:0005813,centrosome,1.9010236837591077e-29,True,"""A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle."" [GOC:mah, ISBN:0198547684]",733,208,53,22115,0.2548076923076923,0.0723055934515689,query_1,['GO:0005815']
GO:CC,GO:0005829,cytosol,4.539362377506911e-28,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",5513,208,130,22115,0.625,0.023580627607473245,query_1,"['GO:0005737', 'GO:0110165']"
GO:CC,GO:1990752,microtubule end,3.958296693180183e-25,True,"""Any end of a microtubule. Microtubule ends differ in that the so-called microtubule plus-end is the one that preferentially grows by polymerization, with respect to the minus-end."" [GOC:pr]",36,208,18,22115,0.08653846153846154,0.5,query_1,"['GO:0005874', 'GO:0110165']"
GO:CC,GO:0015629,actin cytoskeleton,1.0942387392860517e-23,True,"""The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."" [GOC:jl, ISBN:0395825172, ISBN:0815316194]",516,208,41,22115,0.1971153846153846,0.07945736434108527,query_1,['GO:0005856']
GO:CC,GO:0035371,microtubule plus-end,5.439015647262279e-22,True,"""The growing (plus) end of a microtubule. In vitro, microtubules polymerize more quickly at the plus end than at the minus end. In vivo, microtubule growth occurs only at the plus end, and the plus end switches between periods of growth and shortening, a behavior known as dynamic instability."" [GOC:bf, GOC:lb, PMID:12700769, PMID:16643273]",26,208,15,22115,0.07211538461538461,0.5769230769230769,query_1,['GO:1990752']
GO:CC,GO:0072686,mitotic spindle,6.237330432550071e-22,True,"""A spindle that forms as part of mitosis. Mitotic and meiotic spindles contain distinctive complements of proteins associated with microtubules."" [GOC:mah, GOC:vw, PMID:11408572, PMID:18367542, PMID:8027178]",185,208,27,22115,0.12980769230769232,0.14594594594594595,query_1,['GO:0005819']
GO:CC,GO:0000922,spindle pole,8.00335759852786e-20,True,"""Either of the ends of a spindle, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules."" [GOC:clt]",177,208,25,22115,0.1201923076923077,0.14124293785310735,query_1,"['GO:0005819', 'GO:0110165']"
GO:CC,GO:0005875,microtubule associated complex,2.341492545541391e-18,True,"""Any multimeric complex connected to a microtubule."" [GOC:jl]",159,208,23,22115,0.11057692307692307,0.14465408805031446,query_1,"['GO:0015630', 'GO:0032991']"
GO:CC,GO:0005622,intracellular anatomical structure,5.284441447099559e-16,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",17842,208,207,22115,0.9951923076923077,0.011601838358928371,query_1,['GO:0110165']
GO:CC,GO:0043229,intracellular organelle,2.1141047106578123e-13,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",16022,208,196,22115,0.9423076923076923,0.012233179378354763,query_1,"['GO:0005622', 'GO:0043226']"
GO:CC,GO:0042995,cell projection,3.1867697203453083e-13,True,"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, PMID:16318917]",2399,208,65,22115,0.3125,0.027094622759483118,query_1,['GO:0110165']
GO:CC,GO:0043226,organelle,3.728745745116535e-13,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",16811,208,200,22115,0.9615384615384616,0.011896972220569865,query_1,['GO:0110165']
GO:CC,GO:0005876,spindle microtubule,5.35946408097463e-13,True,"""Any microtubule that is part of a mitotic or meiotic spindle; anchored at one spindle pole."" [ISBN:0815316194]",83,208,15,22115,0.07211538461538461,0.18072289156626506,query_1,"['GO:0005819', 'GO:0005874']"
GO:CC,GO:0120025,plasma membrane bounded cell projection,6.790417410899426e-12,True,"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]",2286,208,61,22115,0.2932692307692308,0.02668416447944007,query_1,['GO:0042995']
GO:CC,GO:0005925,focal adhesion,9.104845923531909e-11,True,"""A cell-substrate junction that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. In insects focal adhesion has also been referred to as hemi-adherens junction (HAJ)."" [GOC:aruk, GOC:bc, ISBN:0124325653, ISBN:0815316208, PMID:10419689, PMID:12191915, PMID:15246682, PMID:1643657, PMID:16805308, PMID:19197329, PMID:23033047, PMID:26923917, PMID:28796323, PMID:8314002]",423,208,25,22115,0.1201923076923077,0.0591016548463357,query_1,['GO:0030055']
GO:CC,GO:0030055,cell-substrate junction,1.531792903623417e-10,True,"""A cell junction that forms a connection between a cell and the extracellular matrix."" [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",433,208,25,22115,0.1201923076923077,0.057736720554272515,query_1,['GO:0070161']
GO:CC,GO:0000776,kinetochore,1.8656312208552027e-10,True,"""A multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules."" [GOC:elh]",171,208,17,22115,0.08173076923076923,0.09941520467836257,query_1,"['GO:0000779', 'GO:0043232', 'GO:0099080']"
GO:CC,GO:0000779,"condensed chromosome, centromeric region",5.177601639751197e-10,True,"""The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:elh, GOC:kmv]",182,208,17,22115,0.08173076923076923,0.09340659340659341,query_1,"['GO:0000775', 'GO:0000793']"
GO:CC,GO:0005884,actin filament,2.7553452226258412e-09,True,"""A filamentous structure formed of a two-stranded helical polymer of the protein actin and associated proteins. Actin filaments are a major component of the contractile apparatus of skeletal muscle and the microfilaments of the cytoskeleton of eukaryotic cells. The filaments, comprising polymerized globular actin molecules, appear as flexible structures with a diameter of 5-9 nm. They are organized into a variety of linear bundles, two-dimensional networks, and three dimensional gels. In the cytoskeleton they are most highly concentrated in the cortex of the cell just beneath the plasma membrane."" [GOC:mah, ISBN:0198506732, PMID:10666339]",121,208,14,22115,0.0673076923076923,0.11570247933884298,query_1,"['GO:0015629', 'GO:0099513']"
GO:CC,GO:0030496,midbody,3.8291468115884666e-09,True,"""A thin cytoplasmic bridge formed between daughter cells at the end of cytokinesis. The midbody forms where the contractile ring constricts, and may persist for some time before finally breaking to complete cytokinesis."" [ISBN:0815316194]",206,208,17,22115,0.08173076923076923,0.0825242718446602,query_1,['GO:0110165']
GO:CC,GO:0070161,anchoring junction,7.56011563213384e-09,True,"""A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix."" [ISBN:0815332181]",905,208,33,22115,0.15865384615384615,0.036464088397790057,query_1,['GO:0030054']
GO:CC,GO:0000793,condensed chromosome,8.014067945052023e-09,True,"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]",282,208,19,22115,0.09134615384615384,0.0673758865248227,query_1,['GO:0005694']
GO:CC,GO:0030054,cell junction,1.6283357024360822e-08,True,"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, ISBN:0198506732, PMID:26820516, PMID:28096264]",2236,208,54,22115,0.25961538461538464,0.024150268336314847,query_1,['GO:0110165']
GO:CC,GO:0032432,actin filament bundle,3.1011867982737155e-08,True,"""An assembly of actin filaments that are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness."" [GOC:mah]",95,208,12,22115,0.057692307692307696,0.12631578947368421,query_1,"['GO:0015629', 'GO:0110165']"
GO:CC,GO:0101031,protein folding chaperone complex,4.217320195830674e-08,True,"""A protein complex required for the non-covalent folding or unfolding, maturation, stabilization or assembly or disassembly of macromolecular structures. Usually active during or immediately after completion of translation. Many chaperone complexes contain heat shock proteins."" [GOC:bhm, PMID:21855797]",41,208,9,22115,0.04326923076923077,0.21951219512195122,query_1,['GO:0140535']
GO:CC,GO:0000775,"chromosome, centromeric region",1.3990558976268885e-07,True,"""The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:cjm, GOC:elh, GOC:kmv, GOC:pr]",259,208,17,22115,0.08173076923076923,0.06563706563706563,query_1,['GO:0098687']
GO:CC,GO:0001725,stress fiber,1.6655225454598178e-07,True,"""A contractile actin filament bundle that consists of short actin filaments with alternating polarity, cross-linked by alpha-actinin and possibly other actin bundling proteins, and with myosin present in a periodic distribution along the fiber."" [PMID:16651381]",86,208,11,22115,0.052884615384615384,0.12790697674418605,query_1,"['GO:0042641', 'GO:0097517']"
GO:CC,GO:0097517,contractile actin filament bundle,1.6655225454598178e-07,True,"""An actin filament bundle in which the filaments are loosely packed (approximately 30-60 nm apart) and arranged with opposing polarities; the loose packing allows myosin (usually myosin-II) to enter the bundle."" [GOC:cjm, GOC:mah, ISBN:0815316194]",86,208,11,22115,0.052884615384615384,0.12790697674418605,query_1,['GO:0032432']
GO:CC,GO:0042641,actomyosin,3.9190464868592885e-07,True,"""Any complex of actin, myosin, and accessory proteins."" [GOC:go_curators]",93,208,11,22115,0.052884615384615384,0.11827956989247312,query_1,"['GO:0015629', 'GO:0110165']"
GO:CC,GO:0016272,prefoldin complex,4.6798675821708935e-07,True,"""A multisubunit chaperone that is capable of delivering unfolded proteins to cytosolic chaperonin, which it acts as a cofactor for. In humans, the complex is a heterohexamer of two PFD-alpha and four PFD-beta type subunits. In Saccharomyces cerevisiae, it also acts in the nucleus to regulate the rate of elongation by RNA polymerase II via a direct effect on histone dynamics."" [GOC:jl, PMID:17384227, PMID:24068951, PMID:9630229]",7,208,5,22115,0.02403846153846154,0.7142857142857143,query_1,['GO:0032991']
GO:CC,GO:0030424,axon,1.0030809571244734e-06,True,"""The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."" [GOC:nln, ISBN:0198506732]",655,208,25,22115,0.1201923076923077,0.03816793893129771,query_1,['GO:0043005']
GO:CC,GO:0099568,cytoplasmic region,1.2445327423118306e-06,True,"""Any (proper) part of the cytoplasm of a single cell of sufficient size to still be considered cytoplasm."" [GOC:dos]",299,208,17,22115,0.08173076923076923,0.056856187290969896,query_1,['GO:0005737']
GO:CC,GO:0005832,chaperonin-containing T-complex,5.4879914157701254e-06,True,"""A multisubunit ring-shaped complex that mediates protein folding in the cytosol without a cofactor."" [GOC:sgd_curators, PMID:11580267]",10,208,5,22115,0.02403846153846154,0.5,query_1,"['GO:0005829', 'GO:0101031']"
GO:CC,GO:0005938,cell cortex,1.75445563217588e-05,True,"""The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins."" [GOC:mah, ISBN:0815316194]",315,208,16,22115,0.07692307692307693,0.050793650793650794,query_1,"['GO:0005737', 'GO:0071944']"
GO:CC,GO:0030863,cortical cytoskeleton,2.237131406600336e-05,True,"""The portion of the cytoskeleton that lies just beneath the plasma membrane."" [GOC:mah]",107,208,10,22115,0.04807692307692308,0.09345794392523364,query_1,"['GO:0005856', 'GO:0005938']"
GO:CC,GO:0005881,cytoplasmic microtubule,2.4453957894572308e-05,True,"""Any microtubule in the cytoplasm of a cell."" [GOC:mah]",108,208,10,22115,0.04807692307692308,0.09259259259259259,query_1,"['GO:0005737', 'GO:0005874']"
GO:CC,GO:0032838,plasma membrane bounded cell projection cytoplasm,6.913185658251043e-05,True,"""All of the contents of a plasma membrane bounded cell projection, excluding the plasma membrane surrounding the projection."" [GOC:krc, GOC:mah]",263,208,14,22115,0.0673076923076923,0.053231939163498096,query_1,"['GO:0099568', 'GO:0120025']"
GO:CC,GO:0098687,chromosomal region,9.541814211350135e-05,True,"""Any subdivision of a chromosome along its length."" [GOC:dos]",403,208,17,22115,0.08173076923076923,0.04218362282878412,query_1,"['GO:0005694', 'GO:0110165']"
GO:CC,GO:0005871,kinesin complex,0.0001008002563339117,True,"""Any complex that includes a dimer of molecules from the kinesin superfamily, a group of related proteins that contain an extended region of predicted alpha-helical coiled coil in the main chain that likely produces dimerization. The native complexes of several kinesin family members have also been shown to contain additional peptides, often designated light chains as all of the noncatalytic subunits that are currently known are smaller than the chain that contains the motor unit. Kinesin complexes generally possess a force-generating enzymatic activity, or motor, which converts the free energy of the gamma phosphate bond of ATP into mechanical work."" [GOC:mah, PMID:32842864]",48,208,7,22115,0.03365384615384615,0.14583333333333334,query_1,['GO:0005875']
GO:CC,GO:0043005,neuron projection,0.00011392512900616947,True,"""A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:jl, PMID:3077060]",1338,208,33,22115,0.15865384615384615,0.02466367713004484,query_1,['GO:0120025']
GO:CC,GO:0031252,cell leading edge,0.00022769090333669433,True,"""The area of a motile cell closest to the direction of movement."" [GOC:pg]",429,208,17,22115,0.08173076923076923,0.039627039627039624,query_1,['GO:0110165']
GO:CC,GO:0036064,ciliary basal body,0.0002513169429474329,True,"""A membrane-tethered, short cylindrical array of microtubules and associated proteins found at the base of a eukaryotic cilium (also called flagellum) that is similar in structure to a centriole and derives from it. The cilium basal body is the site of assembly and remodeling of the cilium and serves as a nucleation site for axoneme growth. As well as anchoring the cilium, it is thought to provide a selective gateway regulating the entry of ciliary proteins and vesicles by intraflagellar transport."" [GOC:cilia, GOC:clt, PMID:21750193]",173,208,11,22115,0.052884615384615384,0.06358381502890173,query_1,"['GO:0005815', 'GO:0005929']"
GO:CC,GO:0051233,spindle midzone,0.0003787293386329598,True,"""The area in the center of the spindle where the spindle microtubules from opposite poles overlap."" [GOC:ai, PMID:15296749]",37,208,6,22115,0.028846153846153848,0.16216216216216217,query_1,"['GO:0005819', 'GO:0110165']"
GO:CC,GO:0001726,ruffle,0.00041463410913719206,True,"""Projection at the leading edge of a crawling cell; the protrusions are supported by a microfilament meshwork."" [ISBN:0124325653]",182,208,11,22115,0.052884615384615384,0.06043956043956044,query_1,"['GO:0031252', 'GO:0120025']"
GO:CC,GO:0120111,neuron projection cytoplasm,0.0006348722987885152,True,"""All of the contents of a plasma membrane bounded neuron projection, excluding the plasma membrane surrounding the projection."" [GOC:ha]",89,208,8,22115,0.038461538461538464,0.0898876404494382,query_1,"['GO:0032838', 'GO:0043005']"
GO:CC,GO:1904115,axon cytoplasm,0.0007488655957775667,True,"""Any cytoplasm that is part of a axon."" [GO_REF:0000064, GOC:TermGenie, PMID:18667152]",64,208,7,22115,0.03365384615384615,0.109375,query_1,"['GO:0030424', 'GO:0120111']"
GO:CC,GO:0005818,aster,0.0007685530589144241,True,"""An array of microtubules emanating from a spindle pole MTOC that do not connect to kinetochores."" [GOC:clt]",11,208,4,22115,0.019230769230769232,0.36363636363636365,query_1,"['GO:0005819', 'GO:0043232', 'GO:0099080']"
GO:CC,GO:0000235,astral microtubule,0.0007685530589144241,True,"""Any of the spindle microtubules that radiate in all directions from the spindle poles and are thought to contribute to the forces that separate the poles and position them in relation to the rest of the cell."" [ISBN:0815316194]",11,208,4,22115,0.019230769230769232,0.36363636363636365,query_1,"['GO:0005818', 'GO:0005876', 'GO:0005881']"
GO:CC,GO:0030426,growth cone,0.0015343874389691981,True,"""The migrating motile tip of a growing neuron projection, where actin accumulates, and the actin cytoskeleton is the most dynamic."" [GOC:aruk, GOC:bc, ISBN:0815316194, PMID:10082468]",169,208,10,22115,0.04807692307692308,0.05917159763313609,query_1,"['GO:0030427', 'GO:0150034']"
GO:CC,GO:0030427,site of polarized growth,0.0019877277562404504,True,"""Any part of a cell where non-isotropic growth takes place."" [GOC:mah]",174,208,10,22115,0.04807692307692308,0.05747126436781609,query_1,['GO:0110165']
GO:CC,GO:0030981,cortical microtubule cytoskeleton,0.0026090235609106515,True,"""The portion of the microtubule cytoskeleton that lies just beneath the plasma membrane."" [GOC:mah]",5,208,3,22115,0.014423076923076924,0.6,query_1,"['GO:0015630', 'GO:0030863']"
GO:CC,GO:0030286,dynein complex,0.0036836028136963575,True,"""Any of several large complexes that contain two or three dynein heavy chains and several light chains, and have microtubule motor activity."" [ISBN:0815316194]",54,208,6,22115,0.028846153846153848,0.1111111111111111,query_1,"['GO:0005875', 'GO:1902494']"
GO:CC,GO:0030016,myofibril,0.006551996915853606,True,"""The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."" [ISBN:0815316194]",243,208,11,22115,0.052884615384615384,0.04526748971193416,query_1,['GO:0043292']
GO:CC,GO:0005814,centriole,0.006914798526594624,True,"""A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle."" [ISBN:0198547684]",160,208,9,22115,0.04326923076923077,0.05625,query_1,"['GO:0005815', 'GO:0043232']"
GO:CC,GO:0097431,mitotic spindle pole,0.008822484734134835,True,"""Either of the ends of a mitotic spindle, a spindle that forms as part of mitosis, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules."" [GOC:vw]",38,208,5,22115,0.02403846153846154,0.13157894736842105,query_1,"['GO:0000922', 'GO:0072686']"
GO:CC,GO:0036449,microtubule minus-end,0.009005171805876995,True,"""The end of a microtubule that does not preferentially grow (polymerize)."" [GOC:lb, PMID:23169647]",7,208,3,22115,0.014423076923076924,0.42857142857142855,query_1,['GO:1990752']
GO:CC,GO:0043292,contractile muscle fiber,0.009497681491213744,True,"""Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."" [GOC:go_curators, ISBN:0815316194]",253,208,11,22115,0.052884615384615384,0.043478260869565216,query_1,"['GO:0005737', 'GO:0043232', 'GO:0099512']"
GO:CC,GO:0005929,cilium,0.013413023124722305,True,"""A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body."" [GOC:cilia, GOC:curators, GOC:kmv, GOC:vw, ISBN:0198547684, PMID:16824949, PMID:17009929, PMID:20144998]",769,208,20,22115,0.09615384615384616,0.02600780234070221,query_1,"['GO:0043227', 'GO:0120025']"
GO:CC,GO:0005865,striated muscle thin filament,0.018874406969066886,True,"""Filaments formed of actin and associated proteins; attached to Z discs at either end of sarcomeres in myofibrils."" [ISBN:0815316194]",23,208,4,22115,0.019230769230769232,0.17391304347826086,query_1,"['GO:0015629', 'GO:0030017', 'GO:0036379']"
GO:CC,GO:0005868,cytoplasmic dynein complex,0.018874406969066886,True,"""Any dynein complex with a homodimeric dynein heavy chain core that catalyzes movement along a microtubule. Cytoplasmic dynein complexes participate in many cytoplasmic transport activities in eukaryotes, such as mRNA localization, intermediate filament transport, nuclear envelope breakdown, apoptosis, transport of centrosomal proteins, mitotic spindle assembly, virus transport, kinetochore functions, and movement of signaling and spindle checkpoint proteins. Some complexes participate in intraflagellar transport. Subunits associated with the dynein heavy chain mediate association between dynein heavy chain and cargoes, and may include light chains and light intermediate chains."" [GOC:cilia, GOC:hla, GOC:krc, GOC:mah, PMID:12600311]",23,208,4,22115,0.019230769230769232,0.17391304347826086,query_1,['GO:0030286']
GO:CC,GO:0044294,dendritic growth cone,0.02131348513513154,True,"""The migrating motile tip of a growing nerve cell dendrite."" [GOC:jl]",9,208,3,22115,0.014423076923076924,0.3333333333333333,query_1,"['GO:0030426', 'GO:0044292']"
GO:CC,GO:0150034,distal axon,0.023012742109527848,True,"""That part of an axon close to and including the growth cone or the axon terminus."" [GOC:aruk, GOC:bc, PMID:17202468]",279,208,11,22115,0.052884615384615384,0.03942652329749104,query_1,"['GO:0030424', 'GO:0110165']"
GO:CC,GO:0030175,filopodium,0.023715207665787403,True,"""Thin, stiff, actin-based protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal or dendritic growth cone, or a dendritic shaft."" [GOC:mah, GOC:pr, ISBN:0815316194]",108,208,7,22115,0.03365384615384615,0.06481481481481481,query_1,['GO:0098858']
GO:CC,GO:0150001,primary dendrite,0.028399960605476414,True,"""A dendrite emerging from the cell body (the soma) of a neuron."" [GOC:aruk, GOC:bc]",2,208,2,22115,0.009615384615384616,1.0,query_1,['GO:0030425']
GO:CC,GO:0120103,centriolar subdistal appendage,0.030236674516107707,True,"""A protein complex which assembles on the mother centriole during cilium formation, adjacent and proximal to a centriolar distal appendage. In human, it contains ODF2, CNTRL, NIN, CCDC120c and CCDC68."" [GOC:cilia, PMID:23213374, PMID:27818179, PMID:28422092]",10,208,3,22115,0.014423076923076924,0.3,query_1,"['GO:0005929', 'GO:0140535']"
GO:CC,GO:0036379,myofilament,0.03632167115190167,True,"""Any of the smallest contractile units of a myofibril (striated muscle fiber)."" [Wikipedia:Myofilament]",27,208,4,22115,0.019230769230769232,0.14814814814814814,query_1,"['GO:0030016', 'GO:0110165']"
GO:CC,GO:0044295,axonal growth cone,0.048437094130224505,True,"""The migrating motile tip of a growing nerve cell axon."" [GOC:jl, NIF_Subcellular:sao203987954]",29,208,4,22115,0.019230769230769232,0.13793103448275862,query_1,['GO:0030426']
